price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,pctChange,changeCategory
278.839996,284.700012,274.25,276.589996,9420000,276.589996,3/7/2019,TSLA,0.001267036,0.001267036,0.936093894,U
276.910004,285.589996,275.890015,284.140015,8819600,284.140015,3/8/2019,TSLA,0.02729679,0.02729679,-0.610241099,D
283.519989,291.279999,280.5,290.920013,7392300,290.920013,3/11/2019,TSLA,0.023861468,0.023861468,-1.514382267,D
286.48999,288.070007,281.059998,283.359985,7504100,283.359985,3/12/2019,TSLA,-0.025986621,-0.025986621,-1.13861127,D
283.899994,291.98999,282.700012,288.959991,6844700,288.959991,3/13/2019,TSLA,0.019762868,0.019762868,-1.107085807,D
292.450012,295.390015,288.290009,289.959991,7103400,289.959991,3/14/2019,TSLA,0.003460687,0.003460687,-1.159293972,D
283.51001,283.720001,274.399994,275.429993,14785500,275.429993,3/15/2019,TSLA,-0.050110355,-0.050110355,-0.805150564,D
276,278.049988,267.299988,269.48999,10281000,269.48999,3/18/2019,TSLA,-0.02156629,-0.02156629,-0.676220537,D
267.5,273.299988,263.459991,267.470001,11800600,267.470001,3/19/2019,TSLA,-0.007495599,-0.007495599,0.02238981,E
269.690002,274.970001,266.299988,273.600006,6908200,273.600006,3/20/2019,TSLA,0.022918477,0.022918477,0.091382159,E
272.600006,276.450012,268.450012,274.019989,5947100,274.019989,3/21/2019,TSLA,0.001535026,0.001535026,0.340701232,E
272.579987,272.799988,264,264.529999,8745600,264.529999,3/22/2019,TSLA,-0.034632473,-0.034632473,1.131343429,U
259.709991,263.179993,254.460007,260.420013,10215000,260.420013,3/25/2019,TSLA,-0.015536937,-0.015536937,2.090773305,U
264.440002,270.26001,264.429993,267.769989,7350900,267.769989,3/26/2019,TSLA,0.028223545,0.028223545,1.296551589,U
268.75,275.369995,268.179993,274.829987,8779200,274.829987,3/27/2019,TSLA,0.026365905,0.026365905,1.198462142,U
277.160004,280.329987,275.100006,278.619995,6774100,278.619995,3/28/2019,TSLA,0.013790373,0.013790373,-0.768280958,D
